nrpolizza;DENOM_PRODOTTO;Cod. Agenzia;Riscatto;dtdatarif liquidato;Classificazione;Tipo_premio;Antidurata;Anno dec;IBRIDO/altro;Famiglia Prodotto;Antidurata arrotondata;Periodo di osservazione
022355065;D'ORO 2010;34399;10.450,11;1/3/2024;Uscita definitiva;PR;12,26388889;2.011;di cui altro;D'ORO;ott-15;2.024
022942439;AllORO 2013;34399;6.614,29;1/3/2024;Uscita definitiva;PU;10,25;2.013;di cui altro;AllORO;ott-15;2.024
024254047;Valore Alleanza;16699;9.945,41;1/5/2024;Riscatto reworkato;PU;6,166666667;2.018;di cui Ibridi;Valore Alleanza;6;2.024
024614978;Valore Futuro Piu;16699;19.753,66;1/7/2024;Riscatto reworkato;PU;5,072222222;2.019;di cui Ibridi;Valore Futuro Piu;5;2.024
024660918;Extra POP;23599;5.888,68;1/10/2024;Uscita definitiva;PR;5,169444444;2.019;di cui Ibridi;Extra;5;2.024
021880616;D'ORO 2006;03500;23.276,57;1/4/2024;Uscita definitiva;PR;14,07777778;2.010;di cui altro;D'ORO;ott-15;2.024
023178005;Valore Futuro;33899;35.151,15;1/10/2024;Riscatto reworkato;PU;9,994444444;2.014;di cui Ibridi;Valore Futuro;ott-15;2.024
024231865;AllORO 2016;37544;10.215,41;1/2/2024;Uscita definitiva;PU;5,997222222;2.018;di cui altro;AllORO;6;2.024
021568864;D'ORO 2006;11699;11.813,95;1/10/2024;Uscita definitiva;PR;15,76944444;2.008;di cui altro;D'ORO;15-20+;2.024
024164018;Extra di Alleanza;02103;7.664,14;1/10/2024;Uscita definitiva;PR;6,916666667;2.017;di cui Ibridi;Extra;7;2.024
024184266;Extra di Alleanza;01802;5.887,38;1/3/2024;Uscita definitiva;PR;6,255555556;2.017;di cui Ibridi;Extra;7;2.024
022040383;D'ORO 2010;37516;15.675,96;1/2/2024;Uscita definitiva;PR;13,29444444;2.010;di cui altro;D'ORO;ott-15;2.024
024871379;Extra POP;12599;3.838,47;1/9/2024;Uscita definitiva;PR;4,161111111;2.020;di cui Ibridi;Extra;4;2.024
023288315;Valore Futuro;17099;28.987,04;1/7/2024;Riscatto reworkato;PU;9,411111111;2.015;di cui Ibridi;Valore Futuro;9;2.024
024502340;Reinvesto Valore;14399;16.272,40;1/8/2024;Riscatto reworkato;PU;5,533333333;2.019;di cui Ibridi;Valore Alleanza;5;2.024
024663176;Valore Alleanza;14399;20.304,41;1/8/2024;Riscatto reworkato;PU;4,986111111;2.019;di cui Ibridi;Valore Alleanza;5;2.024
025536880;AllORO 2022;12399;5.205,36;1/11/2024;Uscita definitiva;PU;1,763888889;2.023;di cui altro;AllORO;1;2.024
024360236;Extra di Alleanza;03800;8.964,42;1/4/2024;Uscita definitiva;PR;5,752777778;2.018;di cui Ibridi;Extra;6;2.024
